Designator,Comment,Footprint,LCSC Part #
D1,1N5820_DIODE,1N5820_DIODE,
D2,1N5820_DIODE,1N5820_DIODE,
J1,XT30UPB-M,XT30UPB-M,
J2,B4B-XH-A,B4B-XH-A,
J3,XT30UPB-M,XT30UPB-M,
J4,B4B-XH-A,B4B-XH-A,
J5,XT30UPB-M,XT30UPB-M,
J6,B4B-XH-A,B4B-XH-A,
J7,XT30UPB-M,XT30UPB-M,
J8,B4B-XH-A,B4B-XH-A,
J9,XT30UPB-M,XT30UPB-M,
J10,B4B-XH-A,B4B-XH-A,
J11,XT30UPB-M,XT30UPB-M,
J12,B4B-XH-A,B4B-XH-A,
J13,B2B-XH-A,B2B-XH-A,
J14,XT30UPB-M,XT30UPB-M,
J15,B4B-XH-A,B4B-XH-A,
J16,XT30UPB-M,XT30UPB-M,
J17,B4B-XH-A,B4B-XH-A,
J18,B4B-XH-A,B4B-XH-A,
J19,XT30UPB-M,XT30UPB-M,
J20,B4B-XH-A,B4B-XH-A,
J21,XT30UPB-M,XT30UPB-M,
J22,B4B-XH-A,B4B-XH-A,
J23,XT30UPB-M,XT30UPB-M,
J24,B4B-XH-A,B4B-XH-A,
J25,XT30UPB-M,XT30UPB-M,
J26,B4B-XH-A,B4B-XH-A,
J27,XT30UPB-M,XT30UPB-M,
J28,B4B-XH-A,B4B-XH-A,
J29,XT30UPB-M,XT30UPB-M,
J30,XT30UPB-M,XT30UPB-M,
J31,B4B-XH-A,B4B-XH-A,
J32,XT30UPB-M,XT30UPB-M,
J33,B4B-XH-A,B4B-XH-A,
J34,XT30UPB-M,XT30UPB-M,
J35,B4B-XH-A,B4B-XH-A,
J36,XT30UPB-M,XT30UPB-M,
J37,B4B-XH-A,B4B-XH-A,
J38,B2B-XH-A,B2B-XH-A,
J39,B6B-XH-A-LF,B6B-XH-A-LF,
J40,B6B-XH-A-LF,B6B-XH-A-LF,
J41,XT30UPB-M,XT30UPB-M,
J42,XT90PB-M,XT90,
J43,B4B-XH-A,B4B-XH-A,
J44,1X20,1X20,
J47,1X20,1X20,
J48,1X20,1X20,
J49,1X20,1X20,
Q1,BSS138,BSS138,
Q2,BSS138,BSS138,
Q3,BSS138,BSS138,
Q4,BSS138,BSS138,
Q5,BSS138,BSS138,
Q6,BSS138,BSS138,
Q7,BSS138,BSS138,
Q8,BSS138,BSS138,
Q9,BSS138,BSS138,
Q10,BSS138,BSS138,
Q11,BSS138,BSS138,
Q12,BSS138,BSS138,
R1,10K_1%_SMD,10K_1%_SMD,
R2,10K_1%_SMD,10K_1%_SMD,
R3,10K_1%_SMD,10K_1%_SMD,
R4,10K_1%_SMD,10K_1%_SMD,
R5,10K_1%_SMD,10K_1%_SMD,
R6,10K_1%_SMD,10K_1%_SMD,
R7,10K_1%_SMD,10K_1%_SMD,
R8,10K_1%_SMD,10K_1%_SMD,
R9,10K_1%_SMD,10K_1%_SMD,
R10,10K_1%_SMD,10K_1%_SMD,
R11,10K_1%_SMD,10K_1%_SMD,
R12,10K_1%_SMD,10K_1%_SMD,
R13,10K_1%_SMD,10K_1%_SMD,
R14,10K_1%_SMD,10K_1%_SMD,
R15,10K_1%_SMD,10K_1%_SMD,
R16,10K_1%_SMD,10K_1%_SMD,
R17,10K_1%_SMD,10K_1%_SMD,
R18,10K_1%_SMD,10K_1%_SMD,
R19,10K_1%_SMD,10K_1%_SMD,
R20,10K_1%_SMD,10K_1%_SMD,
R21,10K_1%_SMD,10K_1%_SMD,
R22,10K_1%_SMD,10K_1%_SMD,
R23,10K_1%_SMD,10K_1%_SMD,
R24,10K_1%_SMD,10K_1%_SMD,
R25,1K_1%,1K_1%,
R26,1K_1%,1K_1%,
R27,1K_1%,1K_1%,
R28,1K_1%,1K_1%,
R29,1K_1%,1K_1%,
R30,1K_1%,1K_1%,
R31,1K_1%,1K_1%,
R32,1K_1%,1K_1%,
