Reference Designators;Quantity;Description;Package;Value;Manufacturer;Manufacturer Part Number;Vendor;Vendor Part Number;Top/Bottom;
;1;Board;Board;;;;;;;
D1;1;;1N5820_DIODE;1N5820_DIODE;;;;;Top;
D2;1;;1N5820_DIODE;1N5820_DIODE;;;;;Top;
J1;1;;XT30UPB-M;XT30UPB-M;;;;;Top;
J2;1;;B4B-XH-A;B4B-XH-A;;;;;Top;
J3;1;;XT30UPB-M;XT30UPB-M;;;;;Top;
J4;1;;B4B-XH-A;B4B-XH-A;;;;;Top;
J5;1;;XT30UPB-M;XT30UPB-M;;;;;Top;
J6;1;;B4B-XH-A;B4B-XH-A;;;;;Top;
J7;1;;XT30UPB-M;XT30UPB-M;;;;;Top;
J8;1;;B4B-XH-A;B4B-XH-A;;;;;Top;
J9;1;;XT30UPB-M;XT30UPB-M;;;;;Top;
J10;1;;B4B-XH-A;B4B-XH-A;;;;;Top;
J11;1;;XT30UPB-M;XT30UPB-M;;;;;Top;
J12;1;;B4B-XH-A;B4B-XH-A;;;;;Top;
J13;1;;B2B-XH-A;B2B-XH-A;;;;;Top;
J14;1;;XT30UPB-M;XT30UPB-M;;;;;Top;
J15;1;;B4B-XH-A;B4B-XH-A;;;;;Top;
J16;1;;XT30UPB-M;XT30UPB-M;;;;;Top;
J17;1;;B4B-XH-A;B4B-XH-A;;;;;Top;
J18;1;;B4B-XH-A;B4B-XH-A;;;;;Top;
J19;1;;XT30UPB-M;XT30UPB-M;;;;;Top;
J20;1;;B4B-XH-A;B4B-XH-A;;;;;Top;
J21;1;;XT30UPB-M;XT30UPB-M;;;;;Bottom;
J22;1;;B4B-XH-A;B4B-XH-A;;;;;Bottom;
J23;1;;XT30UPB-M;XT30UPB-M;;;;;Bottom;
J24;1;;B4B-XH-A;B4B-XH-A;;;;;Bottom;
J25;1;;XT30UPB-M;XT30UPB-M;;;;;Bottom;
J26;1;;B4B-XH-A;B4B-XH-A;;;;;Bottom;
J27;1;;XT30UPB-M;XT30UPB-M;;;;;Top;
J28;1;;B4B-XH-A;B4B-XH-A;;;;;Top;
J29;1;;XT30UPB-M;XT30UPB-M;;;;;Top;
